wave,throughput
7709.083226562024,0.0
7727.271106774711,0.0
7745.501891710592,0.0
7763.775682580761,0.0
7782.092580835067,0.0
7800.452688162677,0.0
7818.85610649264,0.0
7837.302937994453,0.0
7855.7932850786265,0.0
7874.327250397257,0.0
7892.904936844594,0.0
7911.5264475576105,0.0
7930.191885916578,0.0
7948.901355545639,0.0
7967.654960313381,0.0
7986.452804333418,0.0
8005.294991964964,0.15671098520236668
8024.18162781341,0.16887563702407596
8043.112816730915,0.17679395708789172
8062.088663816977,0.18354808357135055
8081.10927441902,0.1890678704771557
8100.174754132982,0.19495563488353929
8119.285208803901,0.2013011549480425
8138.440744526495,0.20785532115894603
8157.641467645762,0.21349533358994796
8176.887484757561,0.21988680012777828
8196.178902709209,0.2288162673460283
8215.515828600077,0.23657499088057748
8234.898369782171,0.24418592318099158
8254.32663386075,0.2511055027453861
8273.800728694903,0.2587022953660516
8293.320762398154,0.2693201979425411
8312.886843339069,0.27789447146211854
8332.49908014185,0.2861114365592767
8352.157581686944,0.29244487963389754
8371.862457111638,0.2992600999569392
8391.613815810675,0.30852308934181016
8411.411767436857,0.3159842271960167
8431.256421901653,0.3233621434208782
8451.14788937581,0.3324722589696363
8471.086280289968,0.3385808078868738
8491.071705335267,0.34446605154467413
8511.104275463964,0.3520555925327011
8531.184101890049,0.3576880415734037
8551.311296089869,0.36285477196181415
8571.48596980273,0.36719703026653167
8591.708235031538,0.37121385527733036
8611.978204043404,0.3769445762046985
8632.29598937028,0.3827525566687844
8652.661703809572,0.3883685964372614
8673.075460424778,0.3951543677435822
8693.537372546103,0.40169726092814156
8714.0475537711,0.4092311033004715
8734.606117965297,0.4201853089093591
8755.21317926282,0.4311034007743659
8775.868852067042,0.4389726373475471
8796.573251051208,0.44634216796426973
8817.326491159074,0.4556300754654091
8838.128687605542,0.4624498941192186
8858.97995587731,0.46935609815779117
8879.880411733498,0.47935897562470425
8900.830171206308,0.489089800183108
8921.829350601649,0.49659457853859973
8942.8780664998,0.5040192213636195
8963.976435756045,0.5127785403917375
8985.124575501328,0.5189187109081191
9006.322603142904,0.5245391853550193
9027.570636364984,0.5318218853539807
9048.868793129397,0.538858298303207
9070.21719167624,0.5458761231020346
9091.615950524534,0.5520294213021673
9113.065188472885,0.5597153981847084
9134.565024600139,0.5694504362699697
9156.115578266046,0.5766354411904977
9177.716969111927,0.5835210223263945
9199.36931706133,0.5936773353192418
9221.072742320699,0.6031734732587383
9242.827365380042,0.6120317897723705
9264.6333070136,0.6206058240695395
9286.49068828052,0.6272354055718956
9308.39963052552,0.6340554242149762
9330.360255379572,0.6418945450759068
9352.372684760565,0.6494554573748953
9374.437040873996,0.6550101577089871
9396.553446213635,0.6600815622316002
9418.722023562219,0.668091651599208
9440.942895992122,0.6765179888262004
9463.21618686604,0.684927202801083
9485.542019837685,0.6931073418983079
9507.920518852457,0.7009681957400856
9530.351808148147,0.7064444428090685
9552.836012255615,0.7123457711826501
9575.373255999486,0.7196673707091068
9597.963664498846,0.7272501194018789
9620.607363167932,0.7349088767092162
9643.30447771683,0.7419558208359418
9666.055134152171,0.7459980569633031
9688.859458777835,0.7522676502786706
9711.717578195648,0.7590904376410529
9734.629619306086,0.7655694126018483
9757.595709308982,0.7716275504861683
9780.615975704226,0.777206116222937
9803.69054629248,0.7823106761634885
9826.819549175883,0.7868432047083157
9850.003112758766,0.7911707573418616
9873.24136574836,0.7958315239948431
9896.534437155511,0.8010853182889682
9919.882456295403,0.8066170665592275
9943.285552788271,0.810996627867279
9966.743856560111,0.815772607963972
9990.257497843424,0.8216075290761333
10013.826607177918,0.8270374105229705
10037.451315411245,0.8323074070611742
10061.131753699718,0.8372331731949945
10084.86805350905,0.8420026796319912
10108.660346615072,0.8469336622204174
10132.508765104478,0.8522203122438237
10156.413441375542,0.8577936001041416
10180.374508138873,0.8634495995025098
10204.39209841813,0.8692486696139264
10228.466345550776,0.8754614702405673
10252.597383188819,0.881849806066675
10276.785345299537,0.8878905294166352
10301.03036616624,0.893479290561069
10325.332580389011,0.8987602352060933
10349.692122885448,0.9036999581056974
10374.10912889141,0.9082192987832914
10398.583733961786,0.9121316487090207
10423.116073971229,0.91513483488122
10447.706285114913,0.9173053278800216
10472.354503909299,0.9188321552756097
10497.060867192882,0.9199091782844366
10521.825512126961,0.92088722892937
10546.648576196392,0.9221662992659029
10571.530197210348,0.9242459401944755
10596.470513303102,0.9275832162497302
10621.46966293477,0.9323678303425654
10646.527784892101,0.9383598133265332
10671.645018289233,0.9446292764004046
10696.821502568475,0.9505130955818145
10722.05737750107,0.95627960490912
10747.352783187987,0.9629891483466718
10772.70786006068,0.9691819940417837
10798.122748881879,0.9737188748768016
10823.597590746374,0.9780516187267717
10849.132527081794,0.9822804108780312
10874.727699649386,0.9855803685514891
10900.383250544812,0.9877528782527333
10926.099322198934,0.9889790623024203
10951.876057378602,0.9895251999287404
10977.713599187453,0.9907019441547673
11003.612091066698,0.9921199727269234
11029.571676795924,0.9941784273539661
11055.592500493893,0.9967300630067821
11081.674706619331,0.9990895155679628
11107.818439971748,0.9997834006150754
11134.023845692225,1.0
11160.291069264229,0.9995558348571979
11186.620256514423,0.9976827151348147
11213.011553613462,0.9963234100128325
11239.465107076823,0.9946551391481618
11265.981063765603,0.0
11292.559570887342,0.0
11319.200775996842,0.0
11345.904826996979,0.0
11372.671872139526,0.0
11399.502060025983,0.0
11426.395539608397,0.0
11453.352460190185,0.0
11480.372971426965,0.0
11507.457223327398,0.0
11534.605366254,0.0
11561.817550923999,0.0
